step,time,action,vETH,vNFT,fees,userid,oracle_price
41786999,1669609219,swap,0.0,0.0053097583274841,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41787363,1669609399,swap,0.34,0.0,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41787658,1669609548,swap,0.325,0.0,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41787942,1669609652,swap,0.0,0.0050751470213539,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41788334,1669609792,swap,0.0,0.0048412348655026,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41788685,1669609920,swap,0.31,0.0,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41795759,1669612722,swap,0.0,0.0673520556316428,0.003,0x4ba065b10d9f3e4960a53efa882a940fd3999a73,63.98137810183117
41803770,1669615659,swap,0.0,0.0004662456242671,0.002999999999999973,0x528bdb07e14e0d7dd641524393aa1f4f815c2e0c,63.98137810183117
41804337,1669615877,swap,0.03,0.0,0.003,0xeb66615e88a3585fddca52df4a18cabbd3003835,63.98137810183117
41806523,1669616652,swap,0.0,7.8153219709572e-05,0.003,0xbaebb41cfe34701a697824776d1cd60c3ed742f1,63.98137810183117
41814330,1669619279,swap,0.0,0.0003823803597406,0.002999999999999981,0xc67ac968ecc37d706607f5ab0c3476a1c8343aa9,63.98137810183117
41817026,1669620230,swap,0.0,0.0004689205597353,0.00299999999999999,0xeb66615e88a3585fddca52df4a18cabbd3003835,63.98137810183117
41821472,1669621687,swap,3.35,0.0,0.003,0x4ba065b10d9f3e4960a53efa882a940fd3999a73,64.32779470612124
41821858,1669621813,swap,2.85,0.0,0.003,0x4ba065b10d9f3e4960a53efa882a940fd3999a73,64.65668797974035
41827760,1669623684,swap,1.5,0.0,0.003,0x77ab4ebc6b9ca98f8036190d410d4d890a54f36d,65.65349156984783
